72
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
2	18
2	19
2	20
2	21
2	23
22	24
18	2
18	24
18	6
18	26
18	25
18	27
18	21
18	28
18	19
18	29
18	30
18	31
18	32
31	18
31	27
31	21
31	7
31	33
31	24
31	8
31	34
31	30
31	26
31	19
31	32
31	35
31	6
26	18
26	31
26	6
26	30
26	32
38	36
38	33
38	37
38	39
38	19
38	40
38	41
38	8
40	38
40	42
40	33
40	36
40	25
40	43
40	44
40	8
40	45
40	39
40	46
40	47
40	41
40	19
30	18
30	31
30	26
30	21
30	27
30	28
30	48
30	34
30	8
30	35
30	6
30	29
30	32
50	49
3	1
6	1
6	18
6	31
6	26
6	30
6	17
6	19
6	33
6	42
6	48
6	41
6	12
6	44
6	34
6	35
6	32
6	8
51	41
51	52
51	19
51	53
47	40
47	45
47	43
47	54
47	55
47	44
47	33
47	19
47	39
47	25
47	46
47	28
47	8
47	41
9	1
9	4
9	15
9	56
9	57
9	5
9	13
9	11
9	14
9	17
5	1
5	9
5	11
5	14
5	17
5	4
21	2
21	18
21	31
21	30
21	35
21	32
21	58
8	1
8	31
8	38
8	40
8	30
8	6
8	47
8	42
8	28
8	34
8	59
8	12
8	32
8	54
8	61
8	25
8	36
8	35
8	46
8	55
8	37
8	19
8	44
8	41
8	39
8	45
8	33
60	41
17	1
17	6
17	9
17	5
17	42
17	4
17	62
17	56
17	14
17	10
17	13
17	15
17	12
19	2
19	18
19	31
19	38
19	40
19	6
19	51
19	47
19	8
19	54
19	49
19	7
19	39
19	28
19	37
19	61
19	46
19	44
19	33
19	35
19	25
19	41
19	36
19	45
19	53
41	38
41	40
41	6
41	51
41	47
41	8
41	60
41	19
41	28
41	53
41	43
41	33
41	45
41	61
41	54
41	44
41	36
41	25
41	46
41	39
42	40
42	6
42	8
42	17
42	12
63	37
63	64
61	8
61	19
61	41
61	44
65	53
65	66
53	51
53	19
53	41
53	65
53	52
11	1
11	9
11	5
11	13
11	14
55	47
55	8
55	33
55	44
13	1
13	9
13	17
13	11
13	20
13	57
13	15
13	12
13	14
52	51
52	53
52	67
46	40
46	47
46	8
46	19
46	41
46	28
46	54
46	36
46	25
49	50
49	19
49	7
12	1
12	6
12	8
12	17
12	42
12	13
12	14
12	59
59	8
59	12
14	1
14	9
14	5
14	17
14	11
14	13
14	12
14	16
14	4
14	15
14	56
48	30
48	6
68	24
37	38
37	8
37	19
37	63
10	1
10	17
62	17
62	15
33	31
33	38
33	40
33	6
33	47
33	8
33	19
33	41
33	55
33	44
33	45
33	39
56	9
56	17
56	14
56	58
56	15
56	35
36	38
36	40
36	8
36	19
36	41
36	46
36	44
36	45
36	54
36	39
36	28
36	25
58	21
58	56
58	35
24	22
24	18
24	31
24	68
24	64
29	18
29	30
29	27
29	32
64	63
64	24
64	69
64	66
70	23
70	20
67	52
34	31
34	30
34	6
34	8
71	0
28	18
28	30
28	47
28	8
28	19
28	41
28	46
28	36
28	54
28	32
28	45
28	35
28	25
27	18
27	31
27	30
27	29
35	31
35	30
35	6
35	21
35	8
35	19
35	56
35	58
35	28
35	32
16	1
16	14
44	40
44	6
44	47
44	8
44	19
44	41
44	61
44	55
44	33
44	36
44	45
44	39
23	2
23	70
54	47
54	8
54	19
54	41
54	46
54	36
54	28
54	25
15	1
15	9
15	17
15	13
15	14
15	62
15	56
15	4
69	64
57	9
57	13
32	18
32	31
32	26
32	30
32	6
32	21
32	8
32	29
32	28
32	35
43	40
43	47
43	41
43	39
20	2
20	13
20	70
66	65
66	64
7	1
7	31
7	19
7	49
0	71
4	1
4	9
4	5
4	17
4	14
4	15
45	40
45	47
45	8
45	19
45	41
45	33
45	36
45	28
45	44
45	39
45	25
39	38
39	40
39	47
39	8
39	19
39	41
39	33
39	36
39	44
39	43
39	45
39	25
25	18
25	40
25	47
25	8
25	19
25	41
25	46
25	36
25	28
25	54
25	45
25	39
